stack_id,stack_category_id,stack_name
1,1,JavaScript
2,1,Java
3,1,Python
4,1,PHP
5,1,C#
6,1,TypeScript
7,1,Swift
8,1,Objective-C
9,1,Go
10,1,R
11,1,SQL
12,1,Julia
13,1,Ruby
14,1,C
15,1,C++
16,1,Dart
17,1,Kotlin
18,1,Rust
19,1,Solidity
20,1,XML
21,3,MySQL
22,3,PostgreSQL
23,3,MariaDB
24,3,"Oracle Database"
25,3,"Microsoft SQL Server"
26,3,MongoDB
27,3,CouchDB
28,3,"Firebase Realtime Database"
29,3,Redis
30,3,Cassandra
31,3,Elasticsearch
32,2,React
33,2,Angular
34,2,ASP.NET
35,2,JSP
36,2,Vue.js
37,2,Node.js
38,2,Django
39,2,Express.js
40,2,FastAPI
41,2,Flask
42,2,Flutter
43,2,Foundation
44,2,Framework7
45,2,Ionic
46,2,Laminas
47,2,Laravel
48,2,Materialize
49,2,Next.js
50,2,Qt
51,2,ReactNative
52,2,Spring
53,2,Swing
54,2,WPF
55,2,Xamarin
56,2,"Angular JS"
57,2,Codelgniter
58,2,Electron
59,4,Bootstrap
60,4,jQuery
61,4,Sass
62,4,Bulma
63,4,"Material UI"
64,4,Lodash
65,4,D3.js
66,4,Chart.js
67,4,Three.js
68,4,Ajax
69,4,Axios
70,4,Moment.js
71,4,Anime.js
72,4,RxJS
73,4,"Tailwind CSS"
74,5,iOS
75,5,Android
76,5,Windows
77,5,macOS
78,5,Linux
